"EKATTE","Postcode","Name","Mun_code","Mun_name","Reg_code","Reg_name"
14307,7831,Гагово,TGV24,Попово,TGV,Търговище
38529,7120,Копривец,RSE04,Бяла,RSE,Русе
69732,5190,Страхилово,VTR26,Полски Тръмбеш,VTR,Велико Търново
27259,7837,Еленово,TGV24,Попово,TGV,Търговище
47439,5198,Масларево,VTR26,Полски Тръмбеш,VTR,Велико Търново
78077,7849,Цар Асен,TGV24,Попово,TGV,Търговище
04162,7121,Бистренци,RSE04,Бяла,RSE,Русе
57368,7131,Полско Косово,RSE04,Бяла,RSE,Русе
44286,7838,Ломци,TGV24,Попово,TGV,Търговище
16393,5294,Горна Студена,VTR28,Свищов,VTR,Велико Търново
12869,5191,Вързулица,VTR26,Полски Тръмбеш,VTR,Велико Търново
73376,7835,Тръстика,TGV24,Попово,TGV,Търговище
30332,7832,Зараево,TGV24,Попово,TGV,Търговище
53196,5295,Овча могила,VTR28,Свищов,VTR,Велико Търново
37748,7833,Козица,TGV24,Попово,TGV,Търговище
55720,7127,Пейчиново,RSE04,Бяла,RSE,Русе
30380,7165,Могилино,RSE08,Две могили,RSE,Русе
53552,7840,Опака,TGV23,Опака,TGV,Търговище
55988,7119,Пет кладенци,RSE04,Бяла,RSE,Русе
84049,7078,Щръклево,RSE13,Иваново,RSE,Русе
15151,7040,Глоджево,RSE05,Ветово,RSE,Русе
56397,7090,Пиргово,RSE13,Иваново,RSE,Русе
07231,7077,Бъзън,RSE05,Ветово,RSE,Русе
39520,7075,Красен,RSE13,Иваново,RSE,Русе
87700,7073,Ястребово,RSE27,Русе,RSE,Русе
67578,7074,Смирненски,RSE05,Ветово,RSE,Русе
66158,7072,Семерджиево,RSE27,Русе,RSE,Русе
02796,7071,Басарбово,RSE27,Русе,RSE,Русе
52235,7052,Ново село,RSE27,Русе,RSE,Русе
80460,7051,Червена вода,RSE27,Русе,RSE,Русе
03575,7321,Беловец,RAZ16,Кубрат,RAZ,Разград
72357,7044,Тетово,RSE27,Русе,RSE,Русе
63427,7000,Русе,RSE27,Русе,RSE,Русе
22558,7053,Долно Абланово,RSE27,Русе,RSE,Русе
77342,7054,Хотанца,RSE27,Русе,RSE,Русе
86026,7061,Юделник,RSE33,Сливо поле,RSE,Русе
66295,7341,Сеслав,RAZ16,Кубрат,RAZ,Разград
58637,7055,Просена,RSE27,Русе,RSE,Русе
51679,7057,Николово,RSE27,Русе,RSE,Русе
39178,7062,Кошарна,RSE33,Сливо поле,RSE,Русе
05517,7064,Борисово,RSE33,Сливо поле,RSE,Русе
80652,7066,Черешово,RSE33,Сливо поле,RSE,Русе
86091,7338,Юпер,RAZ16,Кубрат,RAZ,Разград
47336,7058,Мартен,RSE27,Русе,RSE,Русе
46560,7067,Малко Враново,RSE33,Сливо поле,RSE,Русе
68713,7063,Стамболово,RSE33,Сливо поле,RSE,Русе
65348,7059,Сандрово,RSE27,Русе,RSE,Русе
67444,7060,Сливо поле,RSE33,Сливо поле,RSE,Русе
15829,7065,Голямо Враново,RSE33,Сливо поле,RSE,Русе
78238,7640,Цар Самуил,SLS34,Тутракан,SLS,Силистра
02083,7068,Бабово,RSE33,Сливо поле,RSE,Русе
63668,7070,Ряхово,RSE33,Сливо поле,RSE,Русе
06673,7069,Бръшлен,RSE33,Сливо поле,RSE,Русе
23546,0,Дралфа,TGV35,Търговище,TGV,Търговище
17840,0,Греевци,TGV02,Антоново,TGV,Търговище
24058,0,Дунавци,VTR04,Велико Търново,VTR,Велико Търново
65262,0,Самсиите,VTR04,Велико Търново,VTR,Велико Търново
83418,0,Шодековци,VTR04,Велико Търново,VTR,Велико Търново
12913,0,Върлинка,VTR04,Велико Търново,VTR,Велико Търново
46855,0,Малчовци,VTR04,Велико Търново,VTR,Велико Търново
12855,0,Вързилковци,VTR13,Елена,VTR,Велико Търново
6662,0,Бръчковци,VTR13,Елена,VTR,Велико Търново
80515,0,Червенковци,VTR13,Елена,VTR,Велико Търново
72446,0,Титевци,VTR13,Елена,VTR,Велико Търново
69393,0,Стойчевци,VTR13,Елена,VTR,Велико Търново
23162,0,Драганосковци,VTR13,Елена,VTR,Велико Търново
52386,0,Нюшковци,VTR13,Елена,VTR,Велико Търново
51771,0,Ничовци,VTR13,Елена,VTR,Велико Търново
77445,0,Христовци,VTR13,Елена,VTR,Велико Търново
61515,0,Радовци,VTR13,Елена,VTR,Велико Търново
24126,0,Дуровци,VTR14,Златарица,VTR,Велико Търново
73568,0,Тънки рът,VTR13,Елена,VTR,Велико Търново
20571,0,Делова махала,VTR14,Златарица,VTR,Велико Търново
62476,0,Рекичка,VTR14,Златарица,VTR,Велико Търново
17227,0,Горско Писарево,VTR14,Златарица,VTR,Велико Търново
52057,0,Новогорци,VTR14,Антоново,VTR,Търговище
61710,7200,Разград,RAZ26,Разград,RAZ,Разград
21960,9947,Долина,SHU18,Каолиново,SHU,Шумен
66531,9950,Сини вир,SHU18,Каолиново,SHU,Шумен
81061,9778,Черноглавци,SHU07,Венец,SHU,Шумен
05685,9752,Борци,SHU07,Венец,SHU,Шумен
18589,7219,Гецово,RAZ26,Разград,RAZ,Разград
87610,9777,Ясенково,SHU07,Венец,SHU,Шумен
51353,7251,Недоклан,RAZ26,Разград,RAZ,Разград
10642,9751,Венец,SHU07,Венец,SHU,Шумен
44865,9948,Лятно,SHU18,Каолиново,SHU,Шумен
70860,7217,Стражец,RAZ26,Разград,RAZ,Разград
63269,9954,Ружица,SHU21,Никола Козлево,SHU,Шумен
53521,9949,Омарчево,SHU18,Каолиново,SHU,Шумен
77579,7451,Хърсово,RAZ29,Самуил,RAZ,Разград
15761,7459,Голям извор,RAZ29,Самуил,RAZ,Разград
87624,7250,Ясеновец,RAZ26,Разград,RAZ,Разград
54119,9753,Осеновец,SHU07,Венец,SHU,Шумен
15669,7452,Голяма вода,RAZ29,Самуил,RAZ,Разград
51651,9955,Никола Козлево,SHU21,Никола Козлево,SHU,Шумен
43760,7242,Липник,RAZ26,Разград,RAZ,Разград
73554,9953,Тъкач,SHU18,Каолиново,SHU,Шумен
32562,9754,Изгрев,SHU07,Венец,SHU,Шумен
06865,9756,Буйновица,SHU07,Венец,SHU,Шумен
36333,7453,Кара Михал,RAZ29,Самуил,RAZ,Разград
62089,7264,Раковски,RAZ26,Разград,RAZ,Разград
12509,9963,Вълнари,SHU21,Никола Козлево,SHU,Шумен
37109,7243,Киченица,RAZ26,Разград,RAZ,Разград
80724,7252,Черковна,RAZ26,Разград,RAZ,Разград
51158,9962,Наум,SHU18,Каолиново,SHU,Шумен
58877,7438,Пчелина,RAZ29,Самуил,RAZ,Разград
04666,7449,Богданци,RAZ29,Самуил,RAZ,Разград
21811,9961,Дойранци,SHU18,Каолиново,SHU,Шумен
78032,9957,Цани Гинчево,SHU21,Никола Козлево,SHU,Шумен
36079,9960,Каолиново,SHU18,Каолиново,SHU,Шумен
37232,9970,Климент,SHU18,Каолиново,SHU,Шумен
11449,7440,Владимировци,RAZ29,Самуил,RAZ,Разград
34103,7450,Йонково,RAZ14,Исперих,RAZ,Разград
24829,7270,Дянково,RAZ26,Разград,RAZ,Разград
52341,7441,Ножарово,RAZ29,Самуил,RAZ,Разград
07452,7448,Бърдоква,RAZ14,Исперих,RAZ,Разград
30630,7437,Здравец,RAZ29,Самуил,RAZ,Разград
72549,9964,Тодор Икономово,SHU18,Каолиново,SHU,Шумен
58668,7263,Просторно,RAZ26,Разград,RAZ,Разград
24116,7445,Лудогорци,RAZ14,Исперих,RAZ,Разград
03472,7432,Белинци,RAZ14,Исперих,RAZ,Разград
58485,9965,Пристое,SHU18,Каолиново,SHU,Шумен
69047,7447,Старо селище,RAZ14,Исперих,RAZ,Разград
56890,7262,Побит камък,RAZ26,Разград,RAZ,Разград
72850,7261,Топчии,RAZ26,Разград,RAZ,Разград
18188,9969,Гусла,SHU18,Каолиново,SHU,Шумен
15953,7444,Голям Поровец,RAZ14,Исперих,RAZ,Разград
24150,7435,Духовец,RAZ14,Исперих,RAZ,Разград
56945,7431,Подайва,RAZ14,Исперих,RAZ,Разград
68388,9968,Средковец,SHU18,Каолиново,SHU,Шумен
06094,9967,Браничево,SHU18,Каолиново,SHU,Шумен
40899,7434,Къпиновци,RAZ14,Исперих,RAZ,Разград
54417,7326,Острово,RAZ11,Завет,RAZ,Разград
44358,7439,Лъвино,RAZ14,Исперих,RAZ,Разград
66696,7667,Скала,SLS10,Дулово,SLS,Силистра
68552,7433,Средоселци,RAZ14,Исперих,RAZ,Разград
61203,7344,Равно,RAZ16,Кубрат,RAZ,Разград
58709,7668,Прохлада,SLS10,Дулово,SLS,Силистра
30137,9966,Загориче,SHU18,Каолиново,SHU,Шумен
66038,7665,Секулово,SLS10,Дулово,SLS,Силистра
56232,7428,Печеница,RAZ14,Исперих,RAZ,Разград
51812,9493,Нова Камена,DOB27,Тервел,DOB,Добрич
20609,7427,Делчево,RAZ14,Исперих,RAZ,Разград
24921,7419,Драгомъж,RAZ14,Исперих,RAZ,Разград
37157,9497,Кладенци,DOB27,Тервел,DOB,Добрич
32874,7400,Исперих,RAZ14,Исперих,RAZ,Разград
46913,7429,Малък Поровец,RAZ14,Исперих,RAZ,Разград
35897,7343,Каменово,RAZ16,Кубрат,RAZ,Разград
17590,9498,Градница,DOB27,Тервел,DOB,Добрич
72578,7425,Тодорово,RAZ14,Исперих,RAZ,Разград
18018,7669,Грънчарово,SLS10,Дулово,SLS,Силистра
37010,7430,Китанчево,RAZ14,Исперих,RAZ,Разград
14982,9499,Главанци,DOB27,Тервел,DOB,Добрич
53494,7680,Окорш,SLS10,Дулово,SLS,Силистра
65650,7423,Свещари,RAZ14,Исперих,RAZ,Разград
87285,7443,Яким Груево,RAZ14,Исперих,RAZ,Разград
06481,7331,Брестовене,RAZ11,Завет,RAZ,Разград
30065,7330,Завет,RAZ11,Завет,RAZ,Разград
47617,7319,Медовене,RAZ16,Кубрат,RAZ,Разград
10015,7422,Вазово,RAZ14,Исперих,RAZ,Разград
12022,7670,Вокил,SLS10,Дулово,SLS,Силистра
38296,7442,Конево,RAZ14,Исперих,RAZ,Разград
38073,7675,Колобър,SLS10,Дулово,SLS,Силистра
57296,7677,Полковник Таслаково,SLS10,Дулово,SLS,Силистра
53744,7684,Орешене,SLS10,Дулово,SLS,Силистра
55186,7681,Паисиево,SLS10,Дулово,SLS,Силистра
61724,7659,Раздел,SLS10,Дулово,SLS,Силистра
32192,7342,Иван Шишманово,RAZ11,Завет,RAZ,Разград
21926,7682,Долец,SLS10,Дулово,SLS,Силистра
40422,7300,Кубрат,RAZ16,Кубрат,RAZ,Разград
12721,7674,Върбино,SLS10,Дулово,SLS,Силистра
37839,7673,Козяк,SLS10,Дулово,SLS,Силистра
53148,7671,Овен,SLS10,Дулово,SLS,Силистра
05124,7683,Боил,SLS10,Дулово,SLS,Силистра
61875,7421,Райнино,RAZ14,Исперих,RAZ,Разград
10714,7327,Веселец,RAZ11,Завет,RAZ,Разград
65022,7318,Савин,RAZ16,Кубрат,RAZ,Разград
81966,7651,Черник,SLS10,Дулово,SLS,Силистра
30689,7641,Зебил,SLS07,Главиница,SLS,Силистра
58147,7325,Прелез,RAZ11,Завет,RAZ,Разград
70384,7324,Сушево,RAZ11,Завет,RAZ,Разград
47696,7672,Межден,SLS10,Дулово,SLS,Силистра
24030,7650,Дулово,SLS10,Дулово,SLS,Силистра
30507,7644,Звенимир,SLS07,Главиница,SLS,Силистра
65886,7332,Севар,RAZ16,Кубрат,RAZ,Разград
